State,County Name,FIPS,Number of Dem Votes,Number of GOP Votes,Percent With No High School,Percent With Only High School,Percent With Some College, Percent With Bachelor's or more,Percent of County Population Below Poverty
CO,Pitkin,8097,7239.0,2522.0,4.6,13.8,21.2,60.4,8.474862220222697
CO,Prowers,8099,1173.0,3508.0,17.4,27.6,39.7,15.4,20.26947861745753
CO,Pueblo,8101,27945.0,27746.0,11.8,29.3,37.7,21.2,19.560806047193118
CO,Rio Blanco,8103,433.0,2782.0,8.2,33.6,36.4,21.8,12.034208918753817
CO,Rio Grande,8105,1985.0,3060.0,16.6,27.4,33.4,22.6,18.95875119909305
CO,Routt,8107,7487.0,5149.0,3.5,21.6,25.5,49.4,9.899280575539567
CO,Saguache,8109,1345.0,1109.0,19.2,26.3,29.1,25.5,22.692865195683684
CO,San Juan,8111,265.0,215.0,4.6,32.6,34.4,28.4,3.025936599423631
CO,San Miguel,8113,2960.0,1030.0,6.8,14.8,23.3,55.1,11.759459803796663
CO,Sedgwick,8115,267.0,1015.0,8.8,33.8,37.6,19.8,14.339622641509434
CO,Summit,8117,9502.0,5064.0,5.3,17.0,27.7,49.9,10.317141710156562
CO,Teller,8119,3547.0,9580.0,5.6,25.4,36.4,32.6,7.50996613656822
CO,Weld,8123,45869.0,75882.0,13.0,27.0,33.3,26.8,11.945147042830632
CT,Fairfield,9001,238723.0,155457.0,10.1,22.4,21.2,46.4,0.5888803968353105
CT,Hartford,9003,233789.0,147912.0,10.7,27.2,25.2,36.9,11.269800109981983
CT,Litchfield,9005,39836.0,53376.0,8.3,29.5,28.2,34.0,6.913851645481456
CT,Middlesex,9007,45306.0,38847.0,6.2,27.2,25.7,40.9,0.6908061646808537
CT,New Haven,9009,203601.0,158373.0,10.5,30.3,24.9,34.3,12.431539578126655
CT,New London,9011,62951.0,54574.0,8.4,30.8,28.3,32.4,9.475722272104168
CT,Tolland,9013,38450.0,33989.0,6.2,27.1,27.9,38.9,6.0804039977848685
CT,Windham,9015,21776.0,25738.0,11.9,33.3,30.9,23.9,5.064528576941217
DE,Kent,10001,33347.0,36989.0,13.1,33.6,30.2,23.1,0.0414906674811131
DE,New Castle,10003,162905.0,85507.0,9.5,28.9,26.1,35.4,10.954721732379626
DE,Sussex,10005,39329.0,62607.0,13.8,34.7,27.6,23.9,0.5748087066339796
FL,Alachua,12001,75370.0,46584.0,7.5,21.9,29.1,41.5,22.50830756894704
FL,Baker,12003,2112.0,10294.0,17.9,41.5,27.8,12.8,1.8560385064177363
FL,Bay,12005,21689.0,62010.0,11.3,30.6,35.6,22.5,9.076819073686293
FL,Bradford,12007,2924.0,8913.0,23.2,34.8,30.2,11.8,16.925932801188047
FL,Brevard,12009,119525.0,181620.0,8.8,28.9,34.6,27.7,13.620772836280274
FL,Broward,12011,546956.0,258521.0,11.7,27.3,30.0,31.0,14.068970121566423
FL,Charlotte,12015,33421.0,60196.0,10.6,34.2,33.6,21.6,1.7200364908715082
FL,Citrus,12017,22765.0,54377.0,13.3,37.5,31.3,17.8,17.314540269836993
FL,Collier,12021,60941.0,105297.0,14.3,26.2,25.6,33.9,12.725411560142469
FL,DeSoto,12027,3761.0,6744.0,29.5,40.7,19.8,10.0,28.058266157544903
FL,Dixie,12029,1270.0,5822.0,22.2,43.2,28.1,6.4,19.20677086550936
FL,Duval,12031,203627.0,210061.0,11.1,28.0,32.8,28.1,0.29328535513841425
FL,Flagler,12035,21985.0,33804.0,8.9,33.4,34.3,23.3,12.789481689926607
FL,Gadsden,12039,14994.0,6721.0,21.2,35.6,25.7,17.5,23.98766075773375
FL,Gilchrist,12041,1457.0,6740.0,17.3,39.3,31.0,12.3,21.71002851987661
FL,Glades,12043,1271.0,2996.0,25.6,44.0,21.5,8.9,18.372896303373267
FL,Gulf,12045,1715.0,5320.0,17.5,35.7,30.1,16.7,13.027592289278065
FL,Hamilton,12047,1899.0,3439.0,25.0,38.5,26.3,10.2,1.971614346640565
FL,Hardee,12049,2147.0,5238.0,31.1,40.4,18.9,9.6,24.644062821077352
FL,Hendry,12051,4610.0,6192.0,37.1,31.7,22.1,9.1,25.137567498071483
FL,Hernando,12053,31818.0,59029.0,13.0,36.6,34.0,16.4,15.238944405190495
FL,Highlands,12055,14901.0,29509.0,16.7,36.9,29.9,16.5,18.99403702474685
FL,Hillsborough,12057,306422.0,265928.0,12.2,27.2,29.2,31.4,2.541131650232318
FL,Holmes,12059,852.0,7476.0,21.7,37.6,28.3,12.3,23.648403952610067
FL,Indian River,12061,28997.0,48564.0,12.4,30.2,30.3,27.2,13.736873443758796
FL,Leon,12073,91936.0,53777.0,7.4,18.6,28.8,45.2,0.941342548753088
FL,Levy,12075,5091.0,13758.0,18.1,41.3,29.4,11.2,21.800040314452733
FL,Liberty,12077,651.0,2542.0,20.9,46.5,20.2,12.5,4.193199567463655
FL,Manatee,12081,71066.0,101681.0,11.5,30.9,29.7,27.9,13.795819448651924
FL,Martin,12085,30158.0,53182.0,10.0,26.1,32.4,31.5,0.3664860979178969
FL,Miami-Dade,12086,623006.0,333666.0,19.4,28.4,25.0,27.3,19.391827877440075
FL,Nassau,12089,10849.0,34221.0,9.1,34.9,31.5,24.5,12.363960749330955
FL,Okaloosa,12091,23711.0,71788.0,8.7,25.5,36.3,29.4,11.486251830824285
FL,Okeechobee,12093,3953.0,9342.0,28.1,37.9,23.2,10.7,23.103859524474103
FL,Osceola,12097,85287.0,50252.0,14.3,33.6,33.4,18.7,0.19533910373094593
FL,Palm Beach,12099,371411.0,270762.0,12.1,25.1,28.6,34.2,13.447827924742745
FL,Pasco,12101,89998.0,141943.0,11.7,33.2,32.5,22.5,13.09110140521062
FL,Pinellas,12103,233327.0,238746.0,9.6,29.1,31.8,29.5,13.784082725373818
FL,Putnam,12107,9920.0,21873.0,21.6,38.2,27.5,12.7,0.8274231678486997
